animal_type,category,suburb,date_range
Dog,Fencing Issues,MOUNT GRAVATT EAST,january march 2016
Cat Trapping,Fox,NORTHGATE,january march 2016
Attack,Attack On An Animal,OXLEY,january march 2016
Attack,Attack On An Animal,DARRA,january march 2016
Other Animal,Fencing Issues,WAVELL HEIGHTS,january march 2016
Attack,Not An Attack,SANDGATE,january march 2016
Attack,Attack On An Animal,GRANGE,january march 2016
Attack,Attack On A Person,CARINDALE,january march 2016
Dog,Fencing Issues,GORDON PARK,january march 2016
Cat,Fox,EVERTON PARK,january march 2016
Cat Trapping,Fox,WYNNUM,january march 2016
Attack,Attack On A Person,ACACIA RIDGE,january march 2016
Dog,Fencing Issues,DARRA,january march 2016
Attack,Fox,MOGGILL,january march 2016
Dog,Fencing Issues,ROCHEDALE,january march 2016
Other Animal,Nuisance Animal,INALA,january march 2016
Attack,Not An Attack,NEW FARM,january march 2016
Other Animal,Nuisance Animal,KENMORE,january march 2016
Dog,Defecating In Public,ROBERTSON,january march 2016
Other Animal,Fox,WACOL,january march 2016
Attack,Attack On An Animal,OXLEY,january march 2016
Dog,Fencing Issues,TARRAGINDI,january march 2016
Dog,Fencing Issues,WYNNUM,january march 2016
Attack,Attack On An Animal,FOREST LAKE,january march 2016
Other Animal,Fox,NA,january march 2016
Cat Trapping,Fox,GREENSLOPES,january march 2016
Other Animal,Fox,ANSTEAD,january march 2016
Other Animal,Fox,NA,january march 2016
Cat,Fox,BOONDALL,january march 2016
Attack,Attack On A Person,CANNON HILL,january march 2016
Cat Trapping,Fox,CHERMSIDE,january march 2016
Dog,Fencing Issues,ZILLMERE,january march 2016
Attack,Attack On An Animal,CARINA,january march 2016
